"Gene","waldStat","df","pvalue","FDR"
"CABZ01021592.1",43.1397890607164,5,3.46168159692795e-08,1.52621695295668e-06
"dnajb1b",33.846194121314,2,4.47087296073789e-08,1.92830694654434e-06
"sh3gl3a",42.1909804270827,5,5.38881217426734e-08,2.27476667100987e-06
"ackr3b",42.0094623660599,5,5.86449377948384e-08,2.42399076218665e-06
"tuba1b",41.6371423802662,5,6.97508953928505e-08,2.82419951957991e-06
"snu13b",40.9383365296529,5,9.65579196599009e-08,3.78578053932179e-06
"h3f3b.1",40.921523509361,5,9.73159312023242e-08,3.78578053932179e-06
"nifk",40.8735157082582,5,9.9513140616736e-08,3.796809057377e-06
"slit2",40.7108544527514,5,1.07331763032903e-07,4.01785316711848e-06
"hspd1",40.2295764650285,5,1.34233883231083e-07,4.93185230241609e-06
"tuba8l4",40.0036054296443,5,1.49086994749581e-07,5.37797450151216e-06
"pcna",39.8094188222168,5,1.63151679166695e-07,5.78023091904864e-06
"sumo3b",39.7519275904243,5,1.67563805275606e-07,5.83239630994389e-06
"si:ch211-222l21.1",39.3253892087729,5,2.04230245048898e-07,6.98608286512091e-06
"meis1a",39.0375468090884,5,2.3338672328066e-07,7.84812303370896e-06
"hmgn2",38.9064084558515,5,2.48010372461138e-07,8.20087631604831e-06
"igfbp1a",38.6250868024791,5,2.82532087503284e-07,9.18924035420518e-06
"col4a1",38.5196677434151,5,2.96666566645953e-07,9.49333013267051e-06
"calcrla",38.0884125724401,5,3.62203243065018e-07,1.14065275276348e-05
"tcima",37.9309478485885,5,3.89569217440489e-07,1.20766457406551e-05
"SAMD5",37.8397153436371,5,4.06356545967768e-07,1.240325211077e-05
"mical2a",37.1896088636959,5,5.48746226014529e-07,1.64956441274671e-05
"nkd1",37.0530110255107,5,5.8446927275746e-07,1.7307269211206e-05
"zgc:113363",36.9204633808533,5,6.21343988593814e-07,1.81286246083842e-05
"ranbp1",36.811818495551,5,6.53289044305616e-07,1.87844270130774e-05
"hspa5",35.9968428653819,5,9.51193031006881e-07,2.69595281931093e-05
"si:ch211-288g17.3",35.658505744175,5,1.11152422177518e-06,3.10600571267882e-05
"abcc2",35.5183914165579,5,1.18554873673737e-06,3.22530828478735e-05
"zfpm2b",35.5162242694604,5,1.18673137494696e-06,3.22530828478735e-05
"msna",35.2846449693412,5,1.32011324016634e-06,3.53933063309463e-05
"tmsb1",34.7053089591443,5,1.72276184295939e-06,4.55727932857523e-05
"hmgb2b",34.465478901461,5,1.92326644277152e-06,5.01177267192464e-05
"fabp7a",26.3004013034728,2,1.94509322448688e-06,5.01177267192464e-05
"mpp2b",31.8533063904558,4,2.04980948459443e-06,5.21387438132738e-05
"nrp2b",33.4919422497459,5,3.00495904603792e-06,7.54663132574588e-05
"tcp1",33.2979859985408,5,3.28391125159477e-06,8.14409990395504e-05
"hmgb1b",32.7061676539916,5,4.30433176934475e-06,0.000105429558399753
"arpp19b",32.4604682307488,5,4.81546235908681e-06,0.000116510699029613
"ism2a",32.2423866629434,5,5.31942760262361e-06,0.000127153546549461
"cldn5b",32.1986292475306,5,5.42669104164339e-06,0.000128173274126434
"grin2bb",32.1144625969187,5,5.63909073258984e-06,0.000131623011923038
"sdk1a",32.0045883239786,5,5.92884344585709e-06,0.000136777039495122
"parp1",31.9774501305689,5,6.00265987216186e-06,0.000136888243521484
"stmn1a",31.4548898446498,5,7.61617241518131e-06,0.000171710068996815
"seta",31.192483687709,5,8.58216265586798e-06,0.000191314727070136
"syne1b",30.2979681360195,5,1.28846838797214e-05,0.000284035697970748
"fabp11a",29.6824498726533,5,1.70302484605589e-05,0.000370686461400391
"podxl",29.6619436951253,5,1.71890899439697e-05,0.000370686461400391
"atp11a",29.1373211868692,5,2.17926557044557e-05,0.000464909988361721
"rbfox3a",29.0466013084298,5,2.2704543361507e-05,0.000479210787544998
"si:ch211-156b7.4",29.0010795060799,5,2.31762817071157e-05,0.000484018346388606
"fosl2",28.7457978150506,5,2.60076951360544e-05,0.000537492366145124
"hoxd9a",28.6446323927192,5,2.72224401783872e-05,0.00055679712694763
"sox11a",28.5561626845736,5,2.83307781288045e-05,0.000573226741477315
"tomm40l",28.5349160444709,5,2.86035521200878e-05,0.000573226741477315
"nuf2",28.1567707449184,5,3.39181713605585e-05,0.000672936519793481
"thrab",28.0018573972959,5,3.63683491005906e-05,0.00071440400609477
"bahcc1b",27.9123816829774,5,3.7862690509094e-05,0.000731722606473284
"hs6st3a",27.9050610092197,5,3.7987615154611e-05,0.000731722606473284
"slbp",27.8703277231369,5,3.85859193058335e-05,0.000736100614449748
"hnrnpabb",27.7545167536954,5,4.06491785331919e-05,0.000768075906760503
"eya2",27.6530037891073,5,4.25474573411133e-05,0.000796359956271404
"glulb",27.6059802022456,5,4.34563316525916e-05,0.000805769738305997
"CABZ01075125.1",27.4760180036777,5,4.6069596898124e-05,0.000846315557832203
"klf6a",27.3264023473974,5,4.92714601120214e-05,0.00089683098038762
"cks1b",27.283060866218,5,5.0239535011265e-05,0.000906138522384998
"mrc1b",27.2564832180268,5,5.08424753850045e-05,0.000908751992467108
"krt91",27.2103302791923,5,5.19065927868656e-05,0.000919488215081619
"agrn",26.8669116648547,5,6.05491994554175e-05,0.00106309390902255
"pbk",26.8324170781669,5,6.14924383751658e-05,0.00106592942273467
"ppp1r9ala",26.8218164078645,5,6.17852235960115e-05,0.00106592942273467
"lbr",26.6753090102361,5,6.5976035567239e-05,0.00112841771177071
"nhp2",26.6250461084878,5,6.74777346141298e-05,0.00114423782456781
"meox2a",26.5818308596555,5,6.87959178993225e-05,0.00115670424671403
"h2ax",26.4915486519172,5,7.16326663812161e-05,0.00119427907647338
"tmeff2a",26.3948532578214,5,7.47995375013355e-05,0.00123668568668875
"mylipa",26.2953245861064,5,7.82040736586609e-05,0.0012822882821387
"itga9",26.2191926122621,5,8.09115150010031e-05,0.00131580693247533
"bicd1a",26.1572035432226,5,8.31844178325047e-05,0.00133529600087512
"abhd17b",26.1450273984197,5,8.36382464627361e-05,0.00133529600087512
"fgf10b",26.1261679254012,5,8.43460216641834e-05,0.00133529600087512
"mprip",26.1127492133857,5,8.48532204046348e-05,0.00133529600087512
"cxcl12a",26.0964045415917,5,8.5475096830212e-05,0.00133529600087512
"cnbpa",25.7241024727031,5,0.000100928930174882,0.00156439841771067
"socs3a",25.7026008835064,5,0.000101901488478329,0.00156722909411631
"supt16h",25.5310860999335,5,0.00010999905306841,0.00167875477913635
"klf17",25.3342444230336,5,0.000120079860655875,0.00181861407283402
"lhfpl6",25.3094045510453,5,0.000121415282499093,0.00182490848847122
"hmgb2a",24.9137085884838,5,0.000144782013815403,0.0021597557549606
"ube2c",24.843424587511,5,0.000149374927578716,0.00221164071877741
"ube2t",24.8171585691703,5,0.000151128117063748,0.00222102358707019
"he1.1",17.5361067737678,2,0.000155626230043282,0.00227031206180788
"rapgef5b",24.7086844139005,5,0.000158586736047295,0.00229661375414477
"sema4c",24.638913033784,5,0.000163575461573306,0.0023516935924742
"hspb1",24.4836034334876,5,0.000175244540406405,0.00250133214508135
"col5a1",24.4333621138676,5,0.000179192845840448,0.00253941861533892
"ebf3a.1",24.3658992016331,5,0.00018463325955731,0.00259796019121775
"tp53inp2",24.280760422319,5,0.000191732823626056,0.0026788586061556
"hmga1a",24.2439974374839,5,0.00019488126519529,0.00270380720382836
"itga10",16.8149917132584,2,0.000223188052608569,0.00307503539149585
"sox7",23.8562384037579,5,0.000231367050530618,0.00316573950519135
"smad6b",23.8327659149084,5,0.000233780645346071,0.00317470998693081
"itga4",23.8188532539111,5,0.000235222967781668,0.00317470998693081
"dll4",23.7824439257995,5,0.000239039280958142,0.0032044184690605
"hsp70.2",23.7086134082681,5,0.000246966849636099,0.00328847134012094
"crip2",23.6614350372606,5,0.000252168155732591,0.00333534413982306
"flt1",23.5082152477465,5,0.000269818480916562,0.00352911600069505
"hist1h4l.16",23.5035400021238,5,0.000270375822633895,0.00352911600069505
"prdx1",23.445769871929,5,0.00027735727456879,0.00359658060617307
"elk3",23.3500050815705,5,0.000289324790434642,0.00372740509235279
"CABZ01030107.1",23.1907923843213,5,0.000310360400245013,0.00397261312313617
"kmt5ab",23.1456230646824,5,0.000316598689725001,0.00402648590009231
"dkc1",23.0699074624705,5,0.000327334701707649,0.00413650986106991
"her6",22.9686956409927,5,0.000342249417062512,0.00429761293324066
"si:ch211-152c2.3",22.7961701172805,5,0.000369235410356494,0.00457073519990045
"myh10",22.7954969665111,5,0.000369344713339825,0.00457073519990045
"magi2a",22.7763167808901,5,0.000372472560471682,0.00457073519990045
"pa2g4b",22.7717857810068,5,0.000373215273378968,0.00457073519990045
"mmel1",20.589894919453,4,0.000381808279504958,0.00464728605237937
"ntn1b",22.6190984146376,5,0.000399116805161248,0.00482486195323674
"cyp1a",22.6068992901123,5,0.000401261200748015,0.00482486195323674
"mcm3",22.5683203078669,5,0.000408117864131863,0.00487774603878082
"mcamb",22.5510528495852,5,0.000411224169304503,0.00488544162814451
"ttk",22.3988606509062,5,0.000439631608169511,0.00519183994409708
"pdgfd",22.2103333302738,5,0.000477518718303926,0.00560590021961533
"pkdcca",22.1958597268704,5,0.000480557121088854,0.00560838428376639
"hsp70.1",21.9644676669915,5,0.000531804533748237,0.00616522645578491
"ruvbl1",21.9529770201913,5,0.000534485358061998,0.00616522645578491
"selenop",21.8526926651873,5,0.000558455226566501,0.0064044807486008
"si:dkey-172h23.2",21.7561625375473,5,0.000582528117747172,0.00664215968741603
"celsr1b",21.642367341682,5,0.000612223403974599,0.00694086419134631
"ap1s3b",21.5811602390071,5,0.000628807943731546,0.00708838045661016
"cthrc1a",21.5480835536911,5,0.000637953897919652,0.00715085047159655
"kpna2",21.3990749660858,5,0.000680808879257366,0.00758834166543042
"nasp",21.3792512395114,5,0.000686719979645534,0.00761146614311027
"si:ch73-335l21.4",21.3081929800915,5,0.00070832699679868,0.00780733756471434
"pard3ba",21.2708630154159,5,0.000719945167225067,0.00785803564917705
"ptprub",21.267986972101,5,0.000720848028301524,0.00785803564917705
"rad51",21.1826225259374,5,0.000748160074703796,0.00807012022688565
"aqp1a.1",21.1729795685515,5,0.000751308689936447,0.00807012022688565
"mibp",21.1693226111339,5,0.00075250617034972,0.00807012022688565
"irx3b",21.1511864287998,5,0.000758472760467144,0.00809037611164953
"elavl4",21.1061756835946,5,0.000773482923979274,0.00820636428435764
"im:7151449",21.0559672575917,5,0.000790571905023851,0.00834305669982618
"CABZ01005379.1",20.7792905222732,5,0.000891630683847899,0.00935976336907001
"hspe1",20.7444670221404,5,0.00090521946342581,0.00945239692335162
"zic2a",20.6914900468366,5,0.000926284114494691,0.00956440120493454
"krt4",20.6890628689407,5,0.000927260684613684,0.00956440120493454
"tm4sf18",20.6812576398297,5,0.000930407980117121,0.00956440120493454
"rrm1",20.6299054740778,5,0.000951378525194113,0.00972956182466557
"eva1ba",20.6069770311649,5,0.000960891387056351,0.00977645390728102
"exoc3l2a",20.589721423266,5,0.000968112330800075,0.00979966767503749
"cyt1",20.5692584338184,5,0.000976744733625967,0.00983686066758334
"fam110b",20.4465617008548,5,0.0010301171040753,0.0103219814873
"hk1",20.4054349905761,5,0.00104864149750128,0.0104547976434298
"nutf2l",20.3759153781993,5,0.00106213954103718,0.0105364242470888
"iqsec1b",20.3380029542023,5,0.00107972634156983,0.0106575973217639
"baiap2a",20.283052953182,5,0.00110572631782635,0.0108602030424133
"mmp15b",20.262966378402,5,0.00111538338432249,0.0109010868694375
"CABZ01086877.1",20.2391164776861,5,0.00112695757111181,0.0109602148092443
"nedd4a",13.5509576934005,2,0.00114142380204663,0.0110467552354171
"zbtb46",20.1773570016226,5,0.00115748107961122,0.0111477789414984
"ssb",20.1451526646623,5,0.00117371868492244,0.011249554931817
"eno1a",20.0733990869717,5,0.00121070744389784,0.0115482863879486
"ralgapa2",20.030869839914,5,0.00123316991537503,0.0117062636942778
"dhfr",19.975481667786,5,0.00126303953313467,0.011932716351139
"abtb2b",19.8624867164985,5,0.00132619878377593,0.0124700397488694
"si:ch211-107n13.1",19.8360902055503,5,0.00134139504502884,0.0125534328742321
"dnmt1",19.8131064294994,5,0.00135476597592443,0.0125661402980281
"cxcr4a",19.811987292601,5,0.00135542037488812,0.0125661402980281
"si:ch211-69g19.2",19.6965241307163,5,0.00142463272483817,0.0131463782608322
"loxl3b",19.4809490923028,5,0.00156327774923171,0.0143589956225727
"CABZ01056843.1",19.4437935627909,5,0.00158847829989806,0.0145232301704965
"med6",19.4160709752559,5,0.00160754061969992,0.0145289950343983
"osbpl3b",19.415194158335,5,0.00160814718003832,0.0145289950343983
"cyp26b1",19.4109619539855,5,0.0016110780784111,0.0145289950343983
"nkd2a",19.319348891141,5,0.0016758242556757,0.015044503725161
"asf1ba",19.1908248193297,5,0.00177098428574773,0.0158271748780338
"tmem198b",19.0926801159796,5,0.00184720618384759,0.0164343366311822
"banf1",19.0343579141144,5,0.00189401713283521,0.0167755803193976
"prmt1",18.9801831966277,5,0.00193854151875283,0.017065176833301
"scpp8",18.9737262610469,5,0.00194391631266433,0.017065176833301
"hspg2",18.9437592117154,5,0.00196905318431373,0.017209698315764
"bub1ba",18.8246382089793,5,0.00207216719587178,0.0180314899851299
"lpar1",18.7939756744604,5,0.0020995557986635,0.0181900380111283
"tmem59l",18.7553707577801,5,0.00213454436654215,0.0184127653183462
"ssrp1a",18.7043197611398,5,0.00218169290260739,0.0187380031115717
"si:ch73-386h18.1",18.6455031126185,5,0.00223728104666587,0.019054151017147
"AL954137.2",18.6387309647143,5,0.00224376998957321,0.019054151017147
"vav3b.1",18.6350401964949,5,0.00224731418246593,0.019054151017147
"CR848683.2",18.6125745025878,5,0.00226900642940453,0.0191562074720791
"chaf1a",18.5938441887729,5,0.00228724879610709,0.0192283966587986
"etv4",18.5706631915727,5,0.00231002519449763,0.0193379324298874
"bmpr1ab",18.4719774782514,5,0.00240950331490319,0.0200859435998653
"dek",18.4010729014266,5,0.00248355870125683,0.0205965348639237
"npl",18.3935775808309,5,0.00249151631418432,0.0205965348639237
"scube3",18.2118937063891,5,0.00269223710778543,0.0221634789288228
"anp32b",18.0841290063399,5,0.00284279473551174,0.0233062179969227
"ccnb1",18.0647677178983,5,0.00286631841200069,0.0234023692568287
"pttg1",18.0491920999988,5,0.00288538088070367,0.0234614576529348
"fn1a",18.0308312337327,5,0.00290801165802312,0.0235167391738784
"vash2",18.0244754066249,5,0.00291588600643855,0.0235167391738784
"cd81b",18.0043352747195,5,0.00294097619014599,0.0236230638107273
"g3bp1",17.9944751439159,5,0.00295333674128684,0.0236266939302947
"prkd3",17.7987904191784,5,0.00320943997696232,0.0255724052782862
"si:ch211-66k16.27",17.734339273986,5,0.00329845775183268,0.0261765607185442
"serpinf1",11.3995826259797,2,0.00334666378986259,0.0264533105939736
"pleca",17.4446567787394,5,0.00372931563398704,0.0293609611818662
"plecb",17.4035380874588,5,0.00379477381577231,0.0297582262865307
"slco2b1",17.3767181513608,5,0.0038380734816359,0.0299792826282111
"lef1",17.3638149786666,5,0.0038590769050284,0.0300251316846131
"si:ch73-281n10.2",17.3361239030179,5,0.00390453183757555,0.0302601217412105
"emilin1b",17.2760355584539,5,0.00400497502133701,0.0309177838223059
"nrp2a",17.2387131562758,5,0.00406863015379499,0.0312874504849972
"sdk1b",17.1374164212392,5,0.00424642311856482,0.0325285848155699
"atp8a1",17.1236124509064,5,0.00427123187864575,0.0325927847970507
"mmp17a",17.0950245805627,5,0.00432306183108144,0.0328618952983356
"hs3st3b1b",17.0670760129239,5,0.00437432667127413,0.03312467219774
"sh3bp4a",17.0459388823643,5,0.00441349164160576,0.0332941726880069
"myo6b",16.9968387481199,5,0.00450579628216463,0.0338617417568736
"epas1b",16.9749473308162,5,0.00454755593547362,0.0340466074565271
"BX942846.1",16.9390500435075,5,0.0046168525902236,0.0344354719511414
"nfia",16.918319896924,5,0.00465733907398524,0.0346073435310364
"si:dkey-6i22.5",16.866552867751,5,0.0047599615485322,0.0352379242995817
"CT033796.2",16.8209051777733,5,0.00485228283944328,0.0357878407191653
"fnbp1b",16.7232164625316,5,0.00505576873295954,0.037150537652562
"tnfaip3",16.7097978229208,5,0.00508436258950751,0.0372227873711546
"pold1",16.6925769128355,5,0.0051212901016221,0.0373552925059494
"si:ch211-266i6.3",16.6759164681637,5,0.00515726486823853,0.0374799029252207
"apoeb",16.6670400949772,5,0.00517653214123937,0.0374826268913099
"npm1a",16.6489924683515,5,0.00521592364094059,0.0376305181950041
"zeb2b",16.5794546196209,5,0.00537045319321539,0.0386049968671715
"afap1l1b",16.5537302033494,5,0.00542874348495725,0.0388831302316072
"lamc3",16.5148448737991,5,0.00551802927319511,0.0393804679065435
"FRMD1",16.4728238774646,5,0.00561612546397661,0.0399368921882781
"ccdc80l2",16.4616764657905,5,0.00564243280162058,0.0399806667086258
"aurka",16.4145989445515,5,0.00575486521925095,0.0406322156405476
"hoxc3a",16.3977979023423,5,0.00579551676609602,0.0407741321416117
"atad5a",16.3823959118331,5,0.00583302911978778,0.0408081482762854
"hapln1b",16.3732976515202,5,0.0058552995381419,0.0408081482762854
"dusp19b",16.3705434188601,5,0.0058620575900914,0.0408081482762854
"ppm1g",16.2326746603567,5,0.00621023955250111,0.0430808226299377
"hbegfa",16.2060079953193,5,0.0062798740075457,0.0434120907002463
"nsd2",16.1874765765078,5,0.00632871248163314,0.0435977970956949
"mgat4c",16.1271066695787,5,0.0064903943875132,0.0445568943419591
"pxdn",16.0728554244522,5,0.00663911754988911,0.0454207214447586
"creb5b",16.0099353457804,5,0.00681576523635807,0.0464689973502901
"si:dkeyp-52c3.7.1",12.1577946975934,3,0.00686171359652843,0.0464859932658622
"birc5a",15.9926398365503,5,0.00686511896517017,0.0464859932658622
"kntc1",15.9353328778212,5,0.00703114723797393,0.0474482861229261
"ENSDARG00000115101",15.8459061390072,5,0.0072980703699046,0.0490826156403075
"fen1",15.7932894795398,5,0.00745970378431893,0.0500001767165161
"col1a2",15.7736997505184,5,0.00752076715564076,0.0502397374976137
"hsd3b7",15.7325373471364,5,0.00765066380726842,0.0507886225488614
"pold2",15.7314476304143,5,0.00765413212807942,0.0507886225488614
"metrnla",15.7084873737915,5,0.00772756608786862,0.0511049703944378
"si:dkeyp-23e4.3",15.6736782122417,5,0.0078402053665706,0.0516776327152029
"abcf1",15.5603833793956,5,0.00821798447441446,0.0539883483352261
"bub1bb",15.4937401061318,5,0.00844841128641904,0.0553189702714699
"mtss1lb",15.4803822445523,5,0.00849534740480051,0.0554433199050139
"diaph3",15.4493656631618,5,0.00860531135291165,0.0559768449973007
"hells",15.4184287587693,5,0.00871637030624739,0.0565139826391988
"lrrn1",15.3971525205625,5,0.00879355590150266,0.0566940345458189
"pdzrn3b",15.3950301718574,5,0.00880129165328236,0.0566940345458189
"kif20bb",15.3788884729871,5,0.00886034332969143,0.0567244224024407
"ercc6l",15.3781127102136,5,0.00886319100038135,0.0567244224024407
"pcdh7b",15.3543062924762,5,0.00895101325541336,0.0571022839187785
"hs6st1b",15.3083623229973,5,0.00912289756951545,0.0580122717240983
"si:dkey-88l16.3",15.2992802991635,5,0.00915725248904098,0.0580446930934738
"zgc:86764",15.2399832796626,5,0.00938466584657804,0.0592967421643657
"coro2ba",15.2205799406402,5,0.00946026459525695,0.0595846506571104
"CHST8",15.1917695529166,5,0.00957360670961083,0.060107707948949
"kif20a",15.1321180547224,5,0.00981248581482219,0.0612843095247958
"abce1",15.1295773920683,5,0.00982278751455901,0.0612843095247958
"arhgef39",15.109118965939,5,0.00990612436034588,0.0615753585614153
"myca",15.1029203443256,5,0.00993150944538956,0.0615753585614153
"nop58",15.0776746672005,5,0.0100355512422291,0.0620265846248677
"cdca5",15.0354774619685,5,0.0102118189813933,0.062771296616042
"hmcn2.1",15.0336977371405,5,0.0102193189551318,0.062771296616042
"robo1",15.0023601938895,5,0.0103522579333203,0.0633916041348995
"bcl3",14.9931694614038,5,0.0103915636506925,0.0634364993322274
"spi2",9.10103800236969,2,0.0105617214152136,0.0642579334969995
"adamts2",14.9470724447302,5,0.0105908993213301,0.0642579334969995
"kcnc4",14.9293836657217,5,0.0106683706767562,0.0645306323862326
"atp11c",14.8562129762066,5,0.0109947143111715,0.0663024717123533
"sparc",14.8131041237517,5,0.0111914900501263,0.0672845947256079
"hist1h4l.21",14.7881496721398,5,0.0113069532067047,0.0677733992812754
"pmp22b",14.6471269048334,5,0.0119814738084686,0.0716001326385593
"p3h2",14.6333544471188,5,0.0120493996819659,0.0717898167237851
"efnb3b",14.6203856117033,5,0.0121137029258545,0.0719568461224408
"BX005003.1",14.589340363647,5,0.0122689870668634,0.0726617025094239
"DOCK9",14.5512943590786,5,0.0124619176661821,0.0733925696397436
"zgc:163030",14.5434772799332,5,0.0125019200827866,0.0733925696397436
"cd82a",14.5431941573291,5,0.0125033712390289,0.0733925696397436
"gulp1a",14.5062408955364,5,0.0126941827231802,0.0741924444094894
"bcr",14.5023511423421,5,0.012714430997594,0.0741924444094894
"mast2",14.4649758223204,5,0.0129105897079319,0.0751017335875096
"ccn2a",14.4582942480396,5,0.0129459641567179,0.0751017335875096
"cenpf",14.4085103869727,5,0.0132125049494169,0.0764245184246158
"si:dkey-230p4.1",14.3629006647885,5,0.0134613519126102,0.0776375645192403
"apobb.1",14.3378213878861,5,0.0136001100482694,0.0782104879297582
"vwa1",14.2827980967131,5,0.0139094049794012,0.0796215711017125
"cenpe",14.2731347297124,5,0.013964421871941,0.0796215711017125
"si:ch211-119e14.1",14.2728790470371,5,0.0139658804150181,0.0796215711017125
"ccn1",14.2178427513423,5,0.0142832866906719,0.0810485719109
"eepd1",12.4504434065438,4,0.0142978831496043,0.0810485719109
"dnase1l4.1",14.1873632148758,5,0.0144620570558291,0.0815378888567446
"col1a1a",8.47185317012793,2,0.014466399635874,0.0815378888567446
"nr4a1",14.1698868362165,5,0.0145655338452958,0.0818640769095378
"eppk1",14.1326567437841,5,0.0147883620772649,0.0825825619366068
"cnmd",8.42529593235285,2,0.0148071076602987,0.0825825619366068
"rrm2.1",14.1261668488441,5,0.0148275407686669,0.0825825619366068
"si:ch211-226l4.6",14.1151149928997,5,0.0148944903322255,0.0825825619366068
"si:ch73-86n18.1",14.1139621944464,5,0.0149014905107385,0.0825825619366068
"edn1",14.0843091819868,5,0.0150826496701963,0.0831826379491774
"grb10a",14.0825239480525,5,0.0150936238214233,0.0831826379491774
"anxa2a",8.36483671107955,2,0.015261555036389,0.0838751390365536
"wnt5b",14.0453109502713,5,0.0153241423012876,0.0839864594634108
"kcnn1a",14.0099521671747,5,0.0155463220543084,0.0849694296301594
"sox5",13.9806415140487,5,0.0157328524721329,0.0857526903975593
"dbf4b",13.933662898449,5,0.0160363345160143,0.0871673635062255
"mvp",13.9059241857813,5,0.0162181712305761,0.0879148954138334
"ptmaa",13.8559496648775,5,0.0165508040193637,0.0894735563335629
"hist1h4l.20",13.8303742102422,5,0.0167235716688633,0.0901618646495238
"cyt1l",8.15624259184207,2,0.0169392596337814,0.0910772116894913
"aurkb",13.7771762910545,5,0.017088523884742,0.091631436181968
"cyp1c1",13.7603524761962,5,0.0172055296575193,0.0920101639906154
"mcm5",13.7426807281129,5,0.0173292642547351,0.0924227426919207
"utp3",13.6797203248986,5,0.0177771121551668,0.0945570791309674
"si:ch211-113a14.19.2",13.6500835035213,5,0.0179917650530224,0.0954429461636266
"trps1",13.6155052008826,5,0.0182453650494733,0.0965301446884133
"sat1a.1",13.6020539253173,5,0.018344945155888,0.0967988595459623
"setb",13.5878129310621,5,0.0184509420141115,0.0970999176551648
"NAV1",7.91867594803052,2,0.0190757387470205,0.0998553673519072
"pa2g4a",13.5043701209385,5,0.0190839663439253,0.0998553673519072
"sema3fa",13.498985780156,5,0.0191255239887725,0.0998553673519072
"LO017938.1",13.4866399298648,5,0.0192211413760784,0.100091192887506
"emid1",13.4562755244171,5,0.0194582721873402,0.101060764449432
"si:ch1073-153i20.4",13.4434425028971,5,0.0195593358376797,0.101320423764899
"ngfb",13.4171686885566,5,0.0197678275299746,0.102133775571536
"MYO1D",13.4052067933744,5,0.0198634560907348,0.102217936083443
"exoc3l2b",13.4022504430999,5,0.0198871589355891,0.102217936083443
"thy1",9.83938141283173,3,0.0199819730978682,0.102439882754963
"cxcl18b",13.3827474693183,5,0.0200442092682465,0.102494101000518
"foxq1a",13.3732714335705,5,0.0201209463250659,0.102621998737611
"foxf2a",13.3628485551127,5,0.0202056772598935,0.102789906881099
"dchs1b",13.3436667361609,5,0.0203625102168314,0.103322813990265
"her9",13.2803703293399,5,0.0208883772006015,0.105720766239779
"s100a10b",13.2683953729119,5,0.0209893231778483,0.105816986449634
"mb",7.72512719707596,2,0.0210140588009858,0.105816986449634
"nrxn2a",13.2583607092612,5,0.0210742739173095,0.105851542916309
"cxadr",13.2089153533906,5,0.0214977134914827,0.107705716078539
"ATP8A1",13.1627805266843,5,0.0219001660689377,0.109445666198419
"pbx3b",13.1468795434215,5,0.0220405463953937,0.109870462433319
"abca2",13.1289244753169,5,0.0222000999704927,0.110388467021197
"hist1h4l.10",13.1209446066373,5,0.022271366746563,0.110465979062953
"cita",13.0546380724092,5,0.0228720949515521,0.113162684249076
"bnc2",13.037482736397,5,0.0230300348439609,0.113660669478653
"pdlim2",13.0264587659811,5,0.0231320784526403,0.113881001612998
"armc1l",13.0143651930215,5,0.0232445219538889,0.11415131573395
"fabp11b",7.45693994115296,2,0.0240295736793162,0.117715244888305
"nop10",12.9151244889406,5,0.0241872594189516,0.118195868687685
"muc5.1",7.42595314293666,2,0.0244047725019139,0.118636685271701
"mafa",12.873471001874,5,0.0245937775088291,0.118636685271701
"fxyd1",12.8718097537865,5,0.0246101255764343,0.118636685271701
"rhag",12.8717184114832,5,0.0246110247630211,0.118636685271701
"cav1",12.8700271955767,5,0.0246276790234889,0.118636685271701
"BX890602.1",7.4069218699961,2,0.0246381078517088,0.118636685271701
"esm1",12.8630963141717,5,0.0246960438594822,0.118636685271701
"dnmt3bb.1",12.8556295718144,5,0.0247698978750971,0.118704051652639
"cdk1",12.8218104515027,5,0.0251070639979439,0.12002991559499
"spock3",12.8061936364138,5,0.0252642391466867,0.120490986699583
"adam12",12.7973635779483,5,0.025353525924149,0.120626847562378
"smc4",12.7888840556554,5,0.0254395527186869,0.120686525072853
"strbp",12.7841474067773,5,0.0254877288334302,0.120686525072853
"nptna",11.0797168678238,4,0.0256825651824208,0.121319546004578
"baz1b",12.7590679252964,5,0.0257442704998326,0.121322167866195
"agap1",12.7194743441594,5,0.0261543204571824,0.12293318168389
"plekhg5b",12.7141393265724,5,0.0262100483126438,0.12293318168389
"mcm6",12.7049977914788,5,0.026305802244161,0.123091301067018
"cirbpa",12.6936209501332,5,0.0264254379994269,0.123095238330683
"jmjd1cb",12.6931186901045,5,0.0264307316173744,0.123095238330683
"etf1b",12.6634000807158,5,0.0267457673947098,0.124270731876122
"jarid2b",12.6281064884953,5,0.0271245712262822,0.12573633017043
"pxk",12.5988914438691,5,0.0274420131827339,0.126911315045557
"zgc:110540",12.5304065201024,5,0.0282001401706317,0.130114135112868
"hoxb8a",12.490445408097,5,0.0286517193794991,0.131837161648744
"rbpms2a",12.4845092917421,5,0.0287193871892009,0.131837161648744
"six2a",7.09379119096755,2,0.0288139511130301,0.131837161648744
"nap1l1",12.4645132174765,5,0.0289484550359577,0.131837161648744
"eif4a1a",12.4583879420035,5,0.0290189726833631,0.131837161648744
"fhod3b",7.0751981150756,2,0.0290830701021445,0.131837161648744
"mapk10",12.4525978230832,5,0.0290857827398465,0.131837161648744
"gpt2",7.07367823855518,2,0.0291051798397932,0.131837161648744
"cks2",12.4429291332026,5,0.0291976740000248,0.13195486381788
"id2b",12.4120061187751,5,0.0295582996466623,0.13328106022495
