"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","178/2534","474/18773",0.375527426160338,2.78207433753276,15.5231639962428,1.46007979391362e-40,4.20356972667732e-37,3.69938111994746e-37,"hnrnpa0b/snrpg/hnrnpa1b/dkc1/cirbpa/hnrpkl/etf1b/safb/syncrip/hnrnpa0a/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/papolg/snrpd1/exosc9/snrpd2/edc4/pqbp1/ptbp1a/hnrnpl/dhx38/snrpe/prpf19/cpsf1/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/larp1b/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/igf2bp3/dhx9/hnrnpl2/rbm39b/ddx39aa/sf3b6/hnrnpub/srsf10b/nbas/lsm4/sf3b2/fip1l1b/luc7l/txnl4a/clns1a/cnot3a/celf1/sf3b5/wtap/srsf9/aar2/rc3h2/dhx16/lsm5/rbm8a/exosc10/srpk1b/exosc2/srsf1b/zgc:158803/hnrnpua/sltm/rbmx2/bcas2/fmr1/gpkow/tdrd3/tnrc6c2/sb:cb81/cnot3b/pum1/usp39/gemin8/celf2/igf2bp1/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/fastk/edc3/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/pde12/smg1/hnrnpk/snrpc/ddx46/isy1/thoc2/supv3l1/cwf19l2/sde2/ptbp3/sf3b4/srsf1a/snrnp70/ddx5/khdc4/ncbp3/eif4a3/dcp2/aqr/cpsf3/zfp36l1a/snrnp200/prmt7/pelo/snrpb2/rbm25b/cpsf6/khdrbs1a/lsm6/cstf2/cnot2/syncripl/tssc4/snrnp27/snrpf/qkia/rbm39a/dbr1/rbmx/rbm15/srrt/slbp/dhx8/prpf38b/snu13a/dhx37/cnot9/srrm2/virma/exosc5/snw1/srsf2b/dhx34/nsrp1/u2af1/srpk1a/pcf11/slu7/snrpd3/xrn2/mrto4/ncbp2/snd1/hnrnpa0l/larp1/rbm6/fxr2",178
"GO:0022613","ribonucleoprotein complex biogenesis","139/2534","319/18773",0.435736677115987,3.2281312705203,15.8551295259433,2.96602723586183e-40,4.2695962060231e-37,3.75748818774706e-37,"rpf2/fbl/nop10/npm1a/ncl/snrpg/wdr43/pwp1/pes/utp3/dkc1/eif5/nsun5/nop56/gar1/mphosph6/abt1/denr/xpo1b/tma16/ebna1bp2/puf60a/utp25/gnl3/ppan/snrpd3l/snu13b/c1qbp/nop2/sf3a2/pin4/prpf39/snrpd1/exosc9/snrpd2/znf593/tsr1/wdr3/snrpe/rrp1/wdr12/ddx18/sart3/trmt112/eif2s2/prpf6/wdr36/prpf8/ddx27/pwp2h/nhp2/ftsj3/esf1/polr1c/utp11/ruvbl1/ddx49/puf60b/prpf31/wdr75/riok2/utp6/imp3/lsm4/wdr18/ngdn/luc7l/wdr55/srfbp1/clns1a/celf1/rexo4/aar2/eif3s10/dcaf13/eif2d/imp4/exosc10/srpk1b/exosc2/zgc:158803/bxdc2/nat10/ddx52/usp39/gemin8/celf2/tarbp2/rrs1/utp15/nvl/u2af2a/yju2/sfswap/rrp15/tfb2m/u2af2b/tsr2/gnl2/noc2l/snrpc/ddx46/isy1/noc4l/eif6/sde2/khdc4/rpf1/ddx10/bud23/snrnp200/nol6/prmt7/znf622/nop16/lsm6/mtrex/tssc4/snrpf/nop14/ltv1/snu13a/ddx28/dhx37/utp23/mcts1/pdcd11/nob1/srpk1a/snrpd3/nup88/mrto4/mak16/pak1ip1/sbds/nom1/eif3jb/utp4/eri1",139
"GO:0008380","RNA splicing","139/2534","320/18773",0.434375,3.21804336029992,15.8084928558167,4.56930409458179e-40,4.38500882943366e-37,3.85905787917838e-37,"hnrnph1l/snrpg/hnrnpa1b/cirbpa/hnrpkl/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/snrpd1/snrpd2/pqbp1/ptbp1a/hnrnpl/dhx38/hmga1a/snrpe/prpf19/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/tsen34/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/hnrnpl2/ddx39aa/rtraf/sf3b6/hnrnpub/srsf10b/dyrk1ab/lsm4/sf3b2/luc7l/txnl4a/clns1a/celf1/sf3b5/wtap/srsf9/aar2/dhx16/lsm5/rbm8a/srsf11/srpk1b/srsf1b/zgc:158803/hnrnpua/rbmx2/bcas2/fmr1/gpkow/usp39/gemin8/celf2/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/hnrnpk/snrpc/ddx46/isy1/cwf19l2/sde2/ptbp3/sf3b4/srsf1a/snrnp70/ddx5/khdc4/eif4a3/aqr/snrnp200/ints5/prmt7/tsen15/snrpb2/rbm25b/khdrbs1a/lsm6/tssc4/snrnp27/snrpf/qkia/hnrnph3/dbr1/rbmx/rbm15/acin1a/dhx8/prpf38b/snu13a/dyrk1aa/dhx37/virma/snw1/srsf2b/usb1/nsrp1/mbnl1/zc3h10/u2af1/srpk1a/slu7/snrpd3/ncbp2/mbnl3/acin1b/hnrnpa0l/rbm6",139
"GO:0006397","mRNA processing","141/2534","334/18773",0.422155688622754,3.12751726223953,15.4973192924638,6.44655800683729e-39,3.45277303416281e-36,3.0386372070821e-36,"snrpg/hnrnpa1b/cirbpa/hnrpkl/safb/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/papolg/snrpd1/snrpd2/pqbp1/ptbp1a/hnrnpl/dhx38/snrpe/prpf19/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/dhx9/hnrnpl2/rbm39b/ddx39aa/sf3b6/hnrnpub/srsf10b/lsm4/sf3b2/fip1l1b/luc7l/txnl4a/clns1a/celf1/sf3b5/wtap/srsf9/aar2/dhx16/lsm5/rbm8a/srpk1b/srsf1b/zgc:158803/hnrnpua/sltm/rbmx2/bcas2/fmr1/gpkow/tdrd3/usp39/gemin8/celf2/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/hnrnpk/snrpc/ddx46/isy1/thoc2/cwf19l2/sde2/ptbp3/sf3b4/srsf1a/snrnp70/ddx5/khdc4/ncbp3/eif4a3/aqr/cpsf3/snrnp200/prmt7/snrpb2/rbm25b/cpsf6/khdrbs1a/lsm6/cstf2/tssc4/snrnp27/snrpf/qkia/rbm39a/dbr1/rbmx/rbm15/srrt/slbp/dhx8/prpf38b/snu13a/dhx37/srrm2/virma/snw1/srsf2b/nsrp1/u2af1/srpk1a/pcf11/slu7/snrpd3/xrn2/ncbp2/hnrnpa0l/rbm6",141
"GO:0000375","RNA splicing, via transesterification reactions","115/2534","238/18773",0.483193277310924,3.57971088988081,15.8212997033697,8.3950716356859e-39,3.45277303416281e-36,3.0386372070821e-36,"snrpg/hnrnpa1b/cirbpa/hnrpkl/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/snrpd1/snrpd2/pqbp1/dhx38/snrpe/prpf19/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/ddx39aa/sf3b6/hnrnpub/srsf10b/lsm4/sf3b2/luc7l/txnl4a/clns1a/celf1/sf3b5/wtap/srsf9/aar2/lsm5/rbm8a/srpk1b/srsf1b/zgc:158803/hnrnpua/rbmx2/bcas2/gpkow/usp39/gemin8/celf2/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/hnrnpk/snrpc/ddx46/isy1/cwf19l2/sde2/sf3b4/srsf1a/snrnp70/ddx5/khdc4/eif4a3/aqr/snrnp200/prmt7/snrpb2/rbm25b/khdrbs1a/lsm6/tssc4/snrpf/qkia/dbr1/rbmx/rbm15/dhx8/prpf38b/snu13a/dhx37/snw1/srsf2b/nsrp1/u2af1/srpk1a/slu7/snrpd3/ncbp2/hnrnpa0l/rbm6",115
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","115/2534","238/18773",0.483193277310924,3.57971088988081,15.8212997033697,8.3950716356859e-39,3.45277303416281e-36,3.0386372070821e-36,"snrpg/hnrnpa1b/cirbpa/hnrpkl/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/snrpd1/snrpd2/pqbp1/dhx38/snrpe/prpf19/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/ddx39aa/sf3b6/hnrnpub/srsf10b/lsm4/sf3b2/luc7l/txnl4a/clns1a/celf1/sf3b5/wtap/srsf9/aar2/lsm5/rbm8a/srpk1b/srsf1b/zgc:158803/hnrnpua/rbmx2/bcas2/gpkow/usp39/gemin8/celf2/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/hnrnpk/snrpc/ddx46/isy1/cwf19l2/sde2/sf3b4/srsf1a/snrnp70/ddx5/khdc4/eif4a3/aqr/snrnp200/prmt7/snrpb2/rbm25b/khdrbs1a/lsm6/tssc4/snrpf/qkia/dbr1/rbmx/rbm15/dhx8/prpf38b/snu13a/dhx37/snw1/srsf2b/nsrp1/u2af1/srpk1a/slu7/snrpd3/ncbp2/hnrnpa0l/rbm6",115
"GO:0000398","mRNA splicing, via spliceosome","115/2534","238/18773",0.483193277310924,3.57971088988081,15.8212997033697,8.3950716356859e-39,3.45277303416281e-36,3.0386372070821e-36,"snrpg/hnrnpa1b/cirbpa/hnrpkl/khdrbs1b/ddx39ab/puf60a/snrpd3l/snu13b/srsf2a/magoh/sf3a2/snrpb/prpf39/snrpd1/snrpd2/pqbp1/dhx38/snrpe/prpf19/ddx23/sart3/prpf40a/rbm4.3/sf3a1/qki2/srsf7a/hnrnpul1/prpf6/lsm7/prpf8/srrm1/sf3a3/rbm4.2/puf60b/prpf31/lsm8/ddx39aa/sf3b6/hnrnpub/srsf10b/lsm4/sf3b2/luc7l/txnl4a/clns1a/celf1/sf3b5/wtap/srsf9/aar2/lsm5/rbm8a/srpk1b/srsf1b/zgc:158803/hnrnpua/rbmx2/bcas2/gpkow/usp39/gemin8/celf2/casc3/cactin/u2af2a/rbfox1/fam50a/yju2/smu1a/sfswap/prpf38a/ilf3b/mfap1/phf5a/u2af2b/hnrnpk/snrpc/ddx46/isy1/cwf19l2/sde2/sf3b4/srsf1a/snrnp70/ddx5/khdc4/eif4a3/aqr/snrnp200/prmt7/snrpb2/rbm25b/khdrbs1a/lsm6/tssc4/snrpf/qkia/dbr1/rbmx/rbm15/dhx8/prpf38b/snu13a/dhx37/snw1/srsf2b/nsrp1/u2af1/srpk1a/slu7/snrpd3/ncbp2/hnrnpa0l/rbm6",115
"GO:0016072","rRNA metabolic process","83/2534","179/18773",0.463687150837989,3.43520082189486,12.9316464039389,9.17356076449775e-27,3.30133518012363e-24,2.90536325791396e-24,"rpf2/fbl/nop10/ncl/wdr43/pwp1/pes/utp3/dkc1/nsun5/nop56/gar1/mphosph6/abt1/ebna1bp2/utp25/gnl3/ppan/snu13b/chd7/nop2/pin4/exosc9/tsr1/wdr3/rrp1/wdr12/ddx18/trmt112/wdr36/ddx27/pwp2h/nhp2/ftsj3/esf1/utp11/polr2eb/ddx49/wdr75/riok2/utp6/imp3/wdr18/ngdn/wdr55/srfbp1/rexo4/dcaf13/imp4/exosc10/exosc2/bxdc2/polr1e/nat10/ddx52/rrs1/utp15/rrp15/tfb2m/tsr2/gnl2/eif6/sde2/rpf1/ddx10/bud23/nol6/pelo/lsm6/mtrex/ltv1/rnaset2/snu13a/dhx37/utp23/exosc5/pdcd11/nob1/mrto4/mak16/pak1ip1/utp4/eri1",83
"GO:0006364","rRNA processing","77/2534","161/18773",0.478260869565217,3.54316941765897,12.8017884340463,5.19094307842702e-26,1.66052501364349e-23,1.46135672395016e-23,"rpf2/fbl/nop10/ncl/wdr43/pwp1/pes/utp3/dkc1/nsun5/nop56/gar1/mphosph6/abt1/ebna1bp2/utp25/gnl3/ppan/snu13b/nop2/pin4/exosc9/tsr1/wdr3/rrp1/wdr12/ddx18/trmt112/wdr36/ddx27/pwp2h/nhp2/ftsj3/esf1/utp11/ddx49/wdr75/riok2/utp6/imp3/wdr18/ngdn/wdr55/srfbp1/rexo4/dcaf13/imp4/exosc10/exosc2/bxdc2/nat10/ddx52/rrs1/utp15/rrp15/tfb2m/tsr2/gnl2/eif6/sde2/rpf1/ddx10/bud23/nol6/lsm6/mtrex/ltv1/snu13a/dhx37/utp23/pdcd11/nob1/mrto4/mak16/pak1ip1/utp4/eri1",77
"GO:0042254","ribosome biogenesis","93/2534","226/18773",0.411504424778761,3.04860795831558,12.2392604392347,4.73703336149711e-25,1.36379190477502e-22,1.20021466327616e-22,"rpf2/fbl/nop10/npm1a/ncl/wdr43/pwp1/pes/utp3/dkc1/nsun5/nop56/gar1/mphosph6/abt1/xpo1b/tma16/ebna1bp2/utp25/gnl3/ppan/snu13b/c1qbp/nop2/pin4/exosc9/znf593/tsr1/wdr3/rrp1/wdr12/ddx18/trmt112/wdr36/ddx27/pwp2h/nhp2/ftsj3/esf1/polr1c/utp11/ddx49/wdr75/riok2/utp6/imp3/wdr18/ngdn/wdr55/srfbp1/rexo4/dcaf13/imp4/exosc10/exosc2/bxdc2/nat10/ddx52/rrs1/utp15/nvl/rrp15/tfb2m/tsr2/gnl2/noc2l/noc4l/eif6/sde2/rpf1/ddx10/bud23/nol6/znf622/nop16/lsm6/mtrex/nop14/ltv1/snu13a/ddx28/dhx37/utp23/pdcd11/nob1/nup88/mrto4/mak16/pak1ip1/sbds/nom1/utp4/eri1",93
