"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","258/4377","474/18773",0.544303797468354,2.33452483204784,16.2264971804897,1.17193500727524e-49,3.59549660232045e-46,2.91256689702827e-46,"snu13b/rbmx/cpsf6/snrpg/hnrnpa0b/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/cnot6a/nudt21/hnrpkl/sb:cb81/hnrnpa0a/hnrnpa1b/sf3a2/cnot3b/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/larp1b/u2af2b/ik/slbp/pelo/exosc3/slu7/srsf10b/igf2bp2b/cnot2/virma/thoc5/mrto4/dkc1/ddx23/cirbpa/dhx37/srsf7a/exosc5/pum1/cnot3a/safb/srsf1b/sart1/rbm7/khdrbs1b/sf3b4/exosc2/larp7/srsf9/plrg1/cdc40/etf1b/isy1/upf1/u2af2a/wtap/gemin8/rbm8a/luc7l3/srek1ip1/cpsf4/zgc:158803/dhx38/snip1/snrpe/snrpc/eftud2/sf3a3/dis3l2/igf2bp1/snd1/gemin2/exosc6/htatsf1/fmr1/rbpms2a/hnrnpul1l/thoc1/fip1l1b/magoh/upf3b/sart3/dicer1/cdk12/rbm4.2/yju2/prpf19/snrpd1/zmat5/gpatch1/u2af1/ddx39ab/ppil1/prpf8/rbm39b/mfap1/prpf31/strap/snrnp200/cnot8/snrnp27/zcrb1/edc3/sf3b6/cwc25/tnrc6c1/ilf3b/dhx16/tnrc6c2/bud31/hbs1l/prpf38a/cpsf2/lsm7/srsf2b/ddx46/syncripl/tfip11/smg7/rbm17/fxr1/dhx34/cnot1/patl1/cnot9/bud13/arl6ip4/srsf2a/rnmt/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/syncrip/prkrip1/prpf4bb/exosc9/scaf11/smg6/clns1a/dhx9/cstf2/tssc4/khdrbs1a/ythdf1/snrnp70/cdc5l/sde2/usp39/wbp11/parn/ncbp2/sltm/srsf1a/tent2/celf2/lsm8/puf60b/cwf19l1/thoc2/txnl4b/gemin4/rbm4.1/cpsf3/lgals3a/rprd2a/rprd1b/snrnp25/fam50a/cpsf1/dcps/cstf1/snrpf/sf3b2/cactin/smn1/eif4a3/papola/ptbp1a/tra2a/tdrd3/aar2/thoc6/gpkow/smg8/qkia/celf1/dbr1/zfp36l1a/pum2/prpf18/zcchc7/angel2/smndc1/pabpc1b/xrn1/snrpb/rc3h1b/pabpc1a/zfp36l2/fxr2/zrsr2/dcp1b/mettl14/snrpd2/samd4a/rest/rnps1/tnpo3/pus1/tent5ba/smg1/cwf19l2/gemin5/tut1/cwc22/pus7l/smu1a/fastk/dis3/exosc7/ythdf3/srpk1b/qki2/nova2/prmt7/tbrg4/rngtt/rpusd4/ddx5/xab2/snu13a/khdc4/ddx39b/cript/exosc10/snapc3/cnot6l/tbp/ddx20/jmjd6/ago3b/rsrc1/ppwd1/ybx1/plekhn1/lsm11/dcp1a",258
"GO:0022613","ribonucleoprotein complex biogenesis","191/4377","319/18773",0.598746081504702,2.56802837287818,15.5749487866046,4.27533029840466e-45,6.55835667775275e-42,5.31266043922811e-42,"fbl/pwp2h/wdr3/snu13b/snrpg/fcf1/rpf2/prpf39/trmt112/ebna1bp2/gar1/eif5/sf3a2/bysl/nop2/mphosph6/pin4/dcaf13/snrpd3l/npm1a/rrp1/u2af2b/gnl3/emg1/pes/exosc3/wdr18/eif6/znf593/mak16/c1qbp/gnl2/eif3c/denr/mphosph10/nhp2/bxdc2/tsr2/mrto4/dkc1/dhx37/nol6/noc2l/ddx27/sart1/exosc2/srfbp1/isy1/imp4/u2af2a/gemin8/eif2s2/luc7l3/polr1c/zgc:158803/polr1d/snrpe/snrpc/znf622/pdcd11/gemin2/exosc6/lsg1/ddx54/ddx18/ruvbl1/mcts1/ddx10/bms1/rrp15/ncl/rrp7a/ptges3a/nop16/sart3/yju2/eri1/snrpd1/riok2/c1d/rrs1/prpf8/mtrex/prpf31/tsr3/krr1/strap/snrnp200/sdad1/eif3ja/wdr43/pak1ip1/eif3s10/noc4l/ptges3b/ddx46/rexo4/nsun5/utp15/ddx52/ddx28/gnl3l/wdr36/nip7/esf1/lsm4/ruvbl2/crnkl1/rpf1/exosc9/scaf11/clns1a/tssc4/eif3i/tma16/sde2/usp39/tsr1/wbp11/dimt1l/mettl5/nop56/celf2/puf60b/imp3/heatr1/nol11/mpv17l2/bud23/gemin4/utp3/pop4/rrp36/ftsj3/ddx51/nop14/snrpf/utp6/smn1/znhit3/rrp8/heatr3/aar2/wdr12/nop10/rexo1/drosha/xpo1b/celf1/prpf18/pop5/tfb2m/eif2d/nol10/nob1/eif3ba/gtpbp10/wdr74/kat2b/ltv1/xpo1a/tfb1m/bop1/snrpd2/ppan/eri2/urb2/utp25/rbfa/gemin5/eif3ha/zcchc4/exosc7/srpk1b/prmt7/rpusd4/xab2/snu13a/ybey/khdc4/exosc10/nom1/ddx20/urb1/ran/efl1/rpusd2/riok3/eif3s6ip/mrm3b/mterf3",191
"GO:0006397","mRNA processing","192/4377","334/18773",0.574850299401198,2.46553910684457,14.9013148181341,1.05483826300315e-41,1.07874793029789e-38,8.73850224193135e-39,"snu13b/rbmx/cpsf6/snrpg/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/nudt21/hnrpkl/hnrnpa1b/sf3a2/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/u2af2b/ik/slbp/slu7/srsf10b/virma/thoc5/ddx23/cirbpa/dhx37/srsf7a/safb/srsf1b/sart1/rbm7/khdrbs1b/sf3b4/larp7/srsf9/plrg1/cdc40/isy1/u2af2a/wtap/gemin8/rbm8a/luc7l3/srek1ip1/cpsf4/zgc:158803/dhx38/snip1/snrpe/snrpc/eftud2/sf3a3/gemin2/htatsf1/fmr1/rbpms2a/hnrnpul1l/thoc1/fip1l1b/magoh/sart3/cdk12/rbm4.2/yju2/prpf19/snrpd1/zmat5/gpatch1/u2af1/ddx39ab/ppil1/prpf8/rbm39b/mfap1/prpf31/strap/snrnp200/snrnp27/zcrb1/sf3b6/cwc25/ilf3b/dhx16/bud31/prpf38a/cpsf2/lsm7/srsf2b/ddx46/tfip11/rbm17/bud13/arl6ip4/srsf2a/rnmt/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/prkrip1/prpf4bb/scaf11/clns1a/dhx9/cstf2/tssc4/khdrbs1a/snrnp70/cdc5l/sde2/usp39/wbp11/ncbp2/sltm/srsf1a/tent2/celf2/lsm8/puf60b/cwf19l1/thoc2/txnl4b/gemin4/rbm4.1/cpsf3/lgals3a/rprd2a/rprd1b/snrnp25/fam50a/dcps/cstf1/snrpf/sf3b2/cactin/smn1/eif4a3/papola/ptbp1a/tra2a/tdrd3/aar2/thoc6/gpkow/qkia/celf1/dbr1/prpf18/smndc1/pabpc1b/snrpb/pabpc1a/zrsr2/mettl14/snrpd2/rest/rnps1/tnpo3/cwf19l2/gemin5/tut1/cwc22/pus7l/smu1a/srpk1b/qki2/nova2/prmt7/rngtt/rpusd4/ddx5/xab2/snu13a/khdc4/ddx39b/cript/snapc3/cnot6l/ddx20/jmjd6/rsrc1/ppwd1/ybx1/lsm11",192
"GO:0008380","RNA splicing","183/4377","320/18773",0.571875,2.45277801576422,14.4531791080998,2.30474121281216e-39,1.76773651022692e-36,1.43197210617092e-36,"snu13b/rbmx/snrpg/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/rtraf/hnrpkl/hnrnpa1b/sf3a2/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/u2af2b/ik/slu7/srsf10b/mbnl2/virma/thoc5/ddx23/cirbpa/dhx37/srsf7a/srsf1b/usb1/sart1/rbm7/khdrbs1b/sf3b4/larp7/srsf9/plrg1/cdc40/isy1/hnrnph1l/u2af2a/wtap/gemin8/rbm8a/luc7l3/srek1ip1/zgc:158803/dhx38/snip1/snrpe/snrpc/hmga1a/eftud2/sf3a3/gemin2/htatsf1/fmr1/rbpms2a/hnrnpul1l/thoc1/magoh/sart3/cdk12/rbm4.2/yju2/prpf19/snrpd1/zmat5/u2af1/ddx39ab/ppil1/prpf8/mfap1/prpf31/strap/snrnp200/snrnp27/zcrb1/sf3b6/cwc25/ilf3b/dhx16/bud31/prpf38a/lsm7/srsf2b/ddx46/tfip11/rbm17/bud13/arl6ip4/srsf2a/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/prkrip1/prpf4bb/scaf11/clns1a/tssc4/khdrbs1a/snrnp70/cdc5l/sde2/usp39/wbp11/ncbp2/tsen34/srsf1a/celf2/lsm8/puf60b/cwf19l1/txnl4b/gemin4/rbm4.1/lgals3a/snrnp25/mbnl3/trpt1/fam50a/snrpf/sf3b2/cactin/hnrnph1/smn1/eif4a3/ptbp1a/tra2a/aar2/thoc6/gpkow/qkia/celf1/dbr1/zbtb8os/prpf18/smndc1/snrpb/tsen2/rtcb/rbm12/grsf1/zrsr2/rnf113a/mettl14/snrpd2/dyrk1ab/rest/rnps1/tnpo3/cwf19l2/gemin5/cwc22/smu1a/tsen15/srpk1b/qki2/nova2/prmt7/aff2/rpusd4/ints11/ddx5/xab2/snu13a/khdc4/ddx39b/zc3h10/cript/snapc3/ddx20/jmjd6/rsrc1/ppwd1/ybx1",183
"GO:0016072","rRNA metabolic process","121/4377","179/18773",0.675977653631285,2.89927541503772,14.0783149228806,1.67767224965273e-36,1.02941969238692e-33,8.33891406616865e-34,"fbl/pwp2h/wdr3/snu13b/fcf1/rpf2/trmt112/ebna1bp2/gar1/bysl/nop2/mphosph6/pin4/dcaf13/rrp1/gnl3/emg1/pes/pelo/exosc3/wdr18/eif6/mak16/gnl2/mphosph10/nhp2/bxdc2/tsr2/mrto4/dkc1/dhx37/exosc5/nol6/ddx27/sart1/exosc2/srfbp1/imp4/polr1d/polr2eb/pdcd11/exosc6/ddx54/ddx18/ddx10/bms1/rrp15/ncl/rrp7a/eri1/riok2/c1d/rrs1/mtrex/tsr3/krr1/wdr43/pak1ip1/rexo4/nsun5/polr1a/utp15/ddx52/gnl3l/polr1e/wdr36/esf1/rpf1/exosc9/sde2/tsr1/wbp11/dimt1l/rnaset2/mettl5/nop56/imp3/heatr1/nol11/bud23/gemin4/utp3/pop4/rrp36/ftsj3/ddx51/utp6/znhit3/rrp8/wdr12/nop10/rexo1/ddx11/drosha/pop5/tfb2m/xrn1/nol10/nob1/kat2b/kdm2bb/ltv1/tfb1m/bop1/ppan/eri2/utp25/rbfa/zcchc4/dis3/exosc7/macroh2a1/rpusd4/chd7/snu13a/ybey/exosc10/urb1/rpusd2/riok3/mrm3b",121
"GO:0000375","RNA splicing, via transesterification reactions","142/4377","238/18773",0.596638655462185,2.55898959995239,13.3462122844319,1.47908895250492e-33,5.67230613285636e-31,4.59490660113699e-31,"snu13b/rbmx/snrpg/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/hnrpkl/hnrnpa1b/sf3a2/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/u2af2b/ik/slu7/srsf10b/ddx23/cirbpa/dhx37/srsf7a/srsf1b/sart1/rbm7/khdrbs1b/sf3b4/larp7/srsf9/plrg1/cdc40/isy1/u2af2a/wtap/gemin8/rbm8a/luc7l3/zgc:158803/dhx38/snip1/snrpe/snrpc/eftud2/sf3a3/gemin2/htatsf1/rbpms2a/hnrnpul1l/magoh/sart3/rbm4.2/yju2/prpf19/snrpd1/u2af1/ddx39ab/ppil1/prpf8/mfap1/prpf31/strap/snrnp200/zcrb1/sf3b6/cwc25/ilf3b/bud31/prpf38a/lsm7/srsf2b/ddx46/tfip11/rbm17/bud13/srsf2a/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/prpf4bb/scaf11/clns1a/tssc4/khdrbs1a/snrnp70/cdc5l/sde2/usp39/ncbp2/srsf1a/celf2/lsm8/puf60b/cwf19l1/txnl4b/gemin4/rbm4.1/snrnp25/fam50a/snrpf/sf3b2/cactin/smn1/eif4a3/tra2a/aar2/gpkow/qkia/celf1/dbr1/prpf18/snrpb/zrsr2/mettl14/snrpd2/rest/rnps1/cwf19l2/gemin5/cwc22/smu1a/srpk1b/qki2/nova2/prmt7/ddx5/xab2/snu13a/khdc4/ddx39b/ddx20/jmjd6/rsrc1/ybx1",142
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","142/4377","238/18773",0.596638655462185,2.55898959995239,13.3462122844319,1.47908895250492e-33,5.67230613285636e-31,4.59490660113699e-31,"snu13b/rbmx/snrpg/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/hnrpkl/hnrnpa1b/sf3a2/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/u2af2b/ik/slu7/srsf10b/ddx23/cirbpa/dhx37/srsf7a/srsf1b/sart1/rbm7/khdrbs1b/sf3b4/larp7/srsf9/plrg1/cdc40/isy1/u2af2a/wtap/gemin8/rbm8a/luc7l3/zgc:158803/dhx38/snip1/snrpe/snrpc/eftud2/sf3a3/gemin2/htatsf1/rbpms2a/hnrnpul1l/magoh/sart3/rbm4.2/yju2/prpf19/snrpd1/u2af1/ddx39ab/ppil1/prpf8/mfap1/prpf31/strap/snrnp200/zcrb1/sf3b6/cwc25/ilf3b/bud31/prpf38a/lsm7/srsf2b/ddx46/tfip11/rbm17/bud13/srsf2a/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/prpf4bb/scaf11/clns1a/tssc4/khdrbs1a/snrnp70/cdc5l/sde2/usp39/ncbp2/srsf1a/celf2/lsm8/puf60b/cwf19l1/txnl4b/gemin4/rbm4.1/snrnp25/fam50a/snrpf/sf3b2/cactin/smn1/eif4a3/tra2a/aar2/gpkow/qkia/celf1/dbr1/prpf18/snrpb/zrsr2/mettl14/snrpd2/rest/rnps1/cwf19l2/gemin5/cwc22/smu1a/srpk1b/qki2/nova2/prmt7/ddx5/xab2/snu13a/khdc4/ddx39b/ddx20/jmjd6/rsrc1/ybx1",142
"GO:0000398","mRNA splicing, via spliceosome","142/4377","238/18773",0.596638655462185,2.55898959995239,13.3462122844319,1.47908895250492e-33,5.67230613285636e-31,4.59490660113699e-31,"snu13b/rbmx/snrpg/sf3b5/prpf4/bcas2/rbm4.3/sf3a1/prpf39/hnrpkl/hnrnpa1b/sf3a2/snrpd3l/hnrnpul1/lsm5/txnl4a/hnrnpk/pqbp1/u2af2b/ik/slu7/srsf10b/ddx23/cirbpa/dhx37/srsf7a/srsf1b/sart1/rbm7/khdrbs1b/sf3b4/larp7/srsf9/plrg1/cdc40/isy1/u2af2a/wtap/gemin8/rbm8a/luc7l3/zgc:158803/dhx38/snip1/snrpe/snrpc/eftud2/sf3a3/gemin2/htatsf1/rbpms2a/hnrnpul1l/magoh/sart3/rbm4.2/yju2/prpf19/snrpd1/u2af1/ddx39ab/ppil1/prpf8/mfap1/prpf31/strap/snrnp200/zcrb1/sf3b6/cwc25/ilf3b/bud31/prpf38a/lsm7/srsf2b/ddx46/tfip11/rbm17/bud13/srsf2a/snw1/prpf40a/nsrp1/sf3b3/prpf38b/ddx39aa/lsm4/crnkl1/prpf4bb/scaf11/clns1a/tssc4/khdrbs1a/snrnp70/cdc5l/sde2/usp39/ncbp2/srsf1a/celf2/lsm8/puf60b/cwf19l1/txnl4b/gemin4/rbm4.1/snrnp25/fam50a/snrpf/sf3b2/cactin/smn1/eif4a3/tra2a/aar2/gpkow/qkia/celf1/dbr1/prpf18/snrpb/zrsr2/mettl14/snrpd2/rest/rnps1/cwf19l2/gemin5/cwc22/smu1a/srpk1b/qki2/nova2/prmt7/ddx5/xab2/snu13a/khdc4/ddx39b/ddx20/jmjd6/rsrc1/ybx1",142
"GO:0006364","rRNA processing","108/4377","161/18773",0.670807453416149,2.87710037079766,13.1894455299288,2.94378008844008e-32,1.00350192348157e-29,8.12896466527139e-30,"fbl/pwp2h/wdr3/snu13b/fcf1/rpf2/trmt112/ebna1bp2/gar1/bysl/nop2/mphosph6/pin4/dcaf13/rrp1/gnl3/emg1/pes/exosc3/wdr18/eif6/mak16/gnl2/mphosph10/nhp2/bxdc2/tsr2/mrto4/dkc1/dhx37/nol6/ddx27/sart1/exosc2/srfbp1/imp4/pdcd11/exosc6/ddx54/ddx18/ddx10/bms1/rrp15/ncl/rrp7a/eri1/riok2/c1d/rrs1/mtrex/tsr3/krr1/wdr43/pak1ip1/rexo4/nsun5/utp15/ddx52/gnl3l/wdr36/esf1/rpf1/exosc9/sde2/tsr1/wbp11/dimt1l/mettl5/nop56/imp3/heatr1/nol11/bud23/gemin4/utp3/pop4/rrp36/ftsj3/ddx51/utp6/znhit3/rrp8/wdr12/nop10/rexo1/drosha/pop5/tfb2m/nol10/nob1/kat2b/ltv1/tfb1m/bop1/ppan/eri2/utp25/rbfa/zcchc4/exosc7/rpusd4/snu13a/ybey/exosc10/urb1/rpusd2/riok3/mrm3b",108
"GO:0042254","ribosome biogenesis","134/4377","226/18773",0.592920353982301,2.54304176497824,12.8681967296706,2.42975472436814e-31,7.45448749436145e-29,6.03857989919281e-29,"fbl/pwp2h/wdr3/snu13b/fcf1/rpf2/trmt112/ebna1bp2/gar1/bysl/nop2/mphosph6/pin4/dcaf13/npm1a/rrp1/gnl3/emg1/pes/exosc3/wdr18/eif6/znf593/mak16/c1qbp/gnl2/mphosph10/nhp2/bxdc2/tsr2/mrto4/dkc1/dhx37/nol6/noc2l/ddx27/sart1/exosc2/srfbp1/imp4/polr1c/polr1d/znf622/pdcd11/exosc6/lsg1/ddx54/ddx18/ddx10/bms1/rrp15/ncl/rrp7a/nop16/eri1/riok2/c1d/rrs1/mtrex/tsr3/krr1/sdad1/wdr43/pak1ip1/noc4l/rexo4/nsun5/utp15/ddx52/ddx28/gnl3l/wdr36/nip7/esf1/rpf1/exosc9/tma16/sde2/tsr1/wbp11/dimt1l/mettl5/nop56/imp3/heatr1/nol11/mpv17l2/bud23/gemin4/utp3/pop4/rrp36/ftsj3/ddx51/nop14/utp6/znhit3/rrp8/heatr3/wdr12/nop10/rexo1/drosha/xpo1b/pop5/tfb2m/nol10/nob1/gtpbp10/wdr74/kat2b/ltv1/xpo1a/tfb1m/bop1/ppan/eri2/urb2/utp25/rbfa/zcchc4/exosc7/rpusd4/snu13a/ybey/exosc10/nom1/urb1/ran/efl1/rpusd2/riok3/mrm3b/mterf3",134
"GO:0006974","DNA damage response","206/4377","459/18773",0.44880174291939,1.92491549459121,11.0621468626904,6.50307485465361e-25,1.81376669582521e-22,1.46925930448203e-22,"apex1/h2ax/fen1/actr2a/trip12/nucks1a/supt16h/usp10/ssrp1a/ppp4ca/polr2i/smarcad1a/mcm6/nucks1b/mcm5/pold3/rfc3/rfc5/huwe1/vcp/vhl/ube2v1/rfc2/plrg1/chaf1a/ube2na/msh2/rfc4/mcm3/yars1/inip/ruvbl1/lig3/mre11a/rad23b/nhej1/vrk1/yju2/prpf19/tex264a/pnkp/waca/dek/fance/nipblb/smek1/txndc12/ube2nb/pds5a/park7/smc5/lig1/fh/psme4b/cul4b/uba1/wdr76/ppp4cb/gins2/xrcc5/parp1/pcna/cdk1/mcm4/rad51/ptpn11a/ccnd1/dtymk/pds5b/ino80db/zgc:110269/bccip/pias4a/bcl2l10/ruvbl2/wdhd1/parp3/tp53/msh6/rad21a/nabp1a/nsmce4a/xrcc4/plk3/mcm2/babam1/alkbh3/terf2ip/timeless/cdk9/ube2v2/gadd45ab/ciao2a/trrap/prdm9/id2a/cep290/eya2/zgc:153993/eya3/ercc2/bcl2l1/zdhhc16a/apbb1/ddx11/rad9a/poldip2/rad51ap1/rfc1/baxb/brca2/hpf1/rad50/unga/zgc:112496/top3a/mcl1a/usp1/csnk2a2a/nipbla/babam2/nbn/brat1/rad1/ap5s1/hipk2/kat5b/mnat1/paxip1/zgc:85936/pold1/gins4/nek4/tp53bp1/rmi2/cep63/ints3/casp2/pmaip1/mgme1/eya1/gtf2h2/alkbh1/kin/gtf2h1/parga/actr8/klhl15/sem1/mta1/sprtn/si:dkey-9i23.15/macrod2/lig4/poli/mcm7/ssrp1b/mbd4/cry-dash/chek2/rev1/faap100/shprh/ube2t/ercc5/uacab/bbc3/fancd2/rfwd3/si:ch211-127m7.2/tdp2b/chchd6a/ogg1/atm/atrx/eya4/cenps/mus81/ddb2/dtl/tdp1/alkbh7/mlh3/slx4/atrip/recql/chd1l/cpdp/rad51b/xrcc3/top3b/xrcc1/casp9/ascc3/armt1/kmt5ab/rad23ab/pms1/poll/vhll/e2f7/dna2/smc2/mlh1/brip1/actr2b",206
